village,parcel_count,total_area_da,observed_current_total_water_m3,current_profit_tl,equal_village_share_m3,area_fair_share_m3,observed_current_avg_per_parcel_m3,observed_current_m3_per_da,equal_parcel_quota_m3,equal_village_m3_per_da,area_fair_parcel_quota_avg_m3,area_fair_m3_per_da,equal_vs_current_change_pct,area_fair_vs_current_change_pct,area_fair_vs_equal_change_pct
Bahçeli,31,19692.0,14107300.25,155034775.966,20140016.16201,14697603.683028484,455074.2016129032,716.3975345317896,649677.94071,1022.7511762141986,474116.2478396285,746.3743491279953,42.76307872592419,4.1843827136838865,-27.02288039493984
Bor İlçe Merkezi,43,35036.0,29027116.39,270288395.748,20140016.162012,26149971.696048442,675049.218372093,828.494017296495,468372.468884,574.8377714925219,608138.8766522893,746.3743491279953,-30.616545262655354,-9.911920479096402,29.840867483375668
Kaynarca,23,10191.0,5713996.45,73617049.413,20140016.162007,7606300.9919634005,248434.62826086956,560.6904572662153,875652.876609,1976.2551429699736,330708.7387810174,746.3743491279953,252.4681252122059,33.117005908594855,-62.23289529274432
Kemerhisar,35,41102.0,32139952.939999998,315233899.965,20140016.161999997,30677478.497858863,918284.3697142856,781.9559374239695,575429.0332,490.00087981120134,876499.3856531103,746.3743491279953,-37.33651010753472,-4.5503316226732915,52.32102224297543
Sazlıca,47,28898.0,19711714.78,227324998.12,20140016.161989998,21568725.941100806,419398.1868085107,682.1134604470898,428510.98217,696.9346031555816,458909.06257661287,746.3743491279953,2.1728265996653024,9.420850402040998,7.0938859612595255
