koy,parsel_sayisi,toplam_alan_da,mevcut_toplam_su_m3,mevcut_parsel_basi_ortalama_m3,mevcut_m3_da,esit_koy_payi_m3,esit_koy_modeli_parsel_basi_m3,esit_koy_modeli_m3_da,esit_koy_modeli_mevcuda_gore_degisim_pct,dekar_bazli_adil_pay_m3,dekar_bazli_adil_parsel_basi_ortalama_m3,dekar_bazli_adil_m3_da,dekar_bazli_adil_mevcuda_gore_degisim_pct,yorum
Sazlıca,47,28898.0,19711714.78,419398.1868085107,682.1134604470898,20140016.16199,428510.98217,696.9346031555816,2.1728265996653024,21568725.94110081,458909.06257661287,746.3743491279953,9.420850402040998,Eşit köy modeli mevcut talebe yakın. Dekar bazlı model alan hakkına göre kontrollü artış verir.
Bahçeli,31,19692.0,14107300.25,455074.2016129032,716.3975345317896,20140016.16201,649677.94071,1022.7511762141986,42.76307872592419,14697603.683028484,474116.2478396285,746.3743491279953,4.184382713683887,Eşit köy modeli mevcut talebe göre artırıyor. Dekar bazlı model mevcut talebe yakın ve dengeli kalır.
Bor İlçe Merkezi,43,35036.0,29027116.39,675049.218372093,828.494017296495,20140016.162012,468372.468884,574.8377714925219,-30.616545262655357,26149971.69604844,608138.8766522893,746.3743491279953,-9.911920479096402,Eşit köy modeli mevcut talebe göre kısıtlıyor. Dekar bazlı model alan hakkına göre kontrollü azaltım verir.
Kemerhisar,35,41102.0,32139952.94,918284.3697142856,781.9559374239695,20140016.162,575429.0332,490.0008798112013,-37.33651010753472,30677478.497858863,876499.3856531103,746.3743491279953,-4.550331622673292,Eşit köy modeli mevcut talebe göre kısıtlıyor. Dekar bazlı model mevcut talebe yakın ve dengeli kalır.
Kaynarca,23,10191.0,5713996.45,248434.6282608696,560.6904572662153,20140016.162007,875652.876609,1976.2551429699736,252.4681252122059,7606300.9919634,330708.7387810174,746.3743491279953,33.117005908594855,Eşit köy modeli çok büyük sapma üretiyor. Dekar bazlı model alan hakkına göre kontrollü artış verir.
