village,parcel_count,total_area_da,current_total_water_m3,current_avg_per_parcel_m3,current_m3_per_da,equal_village_share_m3,equal_parcel_quota_m3,equal_m3_per_da,total_change_m3,total_change_pct,per_da_change_m3,per_da_change_pct,area_weighted_fair_share_m3,equal_vs_area_weighted_gap_m3,equal_vs_area_weighted_gap_pct
Sazlıca,47,28898.0,19711714.78,419398.187,682.113,20140016.162,428510.982,696.935,428301.382,2.173,14.821,2.173,21568725.941,-1428709.779,-6.624
Bahçeli,31,19692.0,14107300.25,455074.202,716.398,20140016.162,649677.941,1022.751,6032715.912,42.763,306.354,42.763,14697603.683,5442412.479,37.029
Bor İlçe Merkezi,43,35036.0,29027116.39,675049.218,828.494,20140016.162,468372.469,574.838,-8887100.228,-30.617,-253.656,-30.617,26149971.696,-6009955.534,-22.983
Kemerhisar,35,41102.0,32139952.94,918284.37,781.956,20140016.162,575429.033,490.001,-11999936.778,-37.337,-291.955,-37.337,30677478.498,-10537462.336,-34.349
Kaynarca,23,10191.0,5713996.45,248434.628,560.69,20140016.162,875652.877,1976.255,14426019.712,252.468,1415.565,252.468,7606300.992,12533715.17,164.781
