village,source_workbook,parcel_count,total_area_da,current_water_m3,equal_village_share_m3,equal_parcel_quota_m3,active_crop_count,status
Sazlıca,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,47,28898.0,19711714.78,20140016.162000,428510.982170,47,Excel 2024 kaynak dosyasıyla senkron
Bahçeli,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx,31,19692.0,14107300.25,20140016.162000,649677.940710,31,Excel 2024 kaynak dosyasıyla senkron
Bor İlçe Merkezi,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx,43,35036.0,29027116.39,20140016.162000,468372.468884,45,Excel 2024 kaynak dosyasıyla senkron
Kemerhisar,kemerhisar_2024_duzeltilmis_v5.xlsx,35,41102.0,32139952.94,20140016.162000,575429.033200,35,Excel 2024 kaynak dosyasıyla senkron
Kaynarca,kaynarca_2024_duzeltilmis_v5.xlsx,23,10191.0,5713996.45,20140016.162000,875652.876609,23,Excel 2024 kaynak dosyasıyla senkron
